Puzzle,Solution
0100240103020040,3124243143121243
0000041202340300,2143341212344321
1030400131400000,1234432131422413
2403030000004102,2413132432414132
0123004004001200,4123234134121234
0014000030414003,2314143232414123
2104000000203201,2134431214233241
0301400012300002,2341412312343412
0304100340020200,2314142341323241
3020021000000432,3124421323411432
2004032100120000,2134432134121243
2034002100403000,2134432112433412
0321003020003010,4321123421433412
1002040342300000,1342241342313124
0000403230400403,2314413232411423
0001132030400200,2431132431424213
0013030000400431,4213132431422431
0400000200133024,2431134242133124
0203431000000420,1243431221343421
0340100002033100,2341143242133124
4003021403001000,4123321423411432
2030400200001240,2134431234211243
0000320404202001,4132321414232341
0130321003400000,4132321423411423
0124001013000400,3124421313422431
3201400000020310,3241412314322314
0034300012030001,2134341212434321
0402300041000014,1432324141232314
0430021000200301,1432321441232341
0030000104102103,1234432134122143
0040030110020204,2143432114323214
0304203100030040,1324243142133142
2000043000130104,2341143242133124
3040003001002304,3241143241232314
2004102330010000,2314142332414132
2340000040100120,2341143242133124
0134001030000023,2134431232411423
0000002442311000,2413312442311342
2000042330400100,2314142332414132
3400004010300302,3421214312344312
0100301404302000,4123321414322341
2100001010203001,2134431214233241
0004200340301002,3124241342311342
1402030030100100,1432234132144123
1204000004022003,1234432134122143
0140003120000320,3142423124131324
2340100040300200,2341142341323214
0104200000424030,3124241313424231
4020320004010002,4123321424311342
2010000302004102,2314142332414132
4201100000022400,4231132431422413
0300420300012004,1342421334212134
0300400010033041,2314413214233241
0400200300044201,3412214313244231
1320020120000040,1324423124133142
0214400313000000,3214412313422431
4130004010002003,4132324113242413
0013014002010020,2413314242311324
0403000242301000,2413314242311324
2103001004000230,2143431234211234
0430300421000001,1432321421434321
0003014212000300,2413314212344321
1300003041203000,1342243141233214
0103301000002401,4123321413422431
0014102040000301,3214142341322341
0000312000402410,4231312413422413
4021200310000400,4321214312343412
2030304240000300,2431314242131324
0010010202401400,2314413232411423
3412004301000000,3412124321344321
0203430000120100,1243432134122134
4002203000003201,4312213414233241
0031000230100103,2431134232144123
0004240313000001,3124241313424231
0243030020000021,1243431221343421
0002301000414020,1432321423414123
0002010430210040,4312213434211243
0040402300002304,3241412314322314
1340001000002401,1342421331242431
4000320100032300,4132324114232314
0004031200002043,1234431234212143
0104001320000042,3124421324311342
0000340010304021,2143341212344321
0140030100020230,2143432134121234
4002213000230000,4312213414233241
0031004002104020,2431134232144123
1420300000040302,1423324121344312
2310410300003000,2314412314323241
2000010443021000,2431312443121243
3002203440000003,3412213443211243
0021200000043012,4321214312343412
3002403000130004,3142423124131324
0003430201202000,1243431231242431
0000031004212030,1243431234212134
1030300400002043,1432321443212143
3204000003400120,3214143223414123
0430010010024200,2431312413424213
4021203030000003,4321213434121243
0103001010304020,2143341212344321
0400013400000312,3421213412434312
4000310000041403,4231314223141423
2040001212004000,2143341212344321
0204000101403002,1234432121433412
2040030102003002,2143432112343412
4000104320040001,4312124321343421
0000140301020304,3241142341322314
2400030400420001,2413132431424231
0001402300300204,2341412314323214
0013000440020240,2413132441323241
0004100030024230,2314142331424231
4030030020130040,4231132424133142
4320004001000012,4321124321343412
1020043000024200,1324243131424213
0041042032040000,2341142332144132
3420210010000003,3421213413424213
0400031002004023,1432231432414123
0320200001024003,1324243131424213
4020014000300204,4321214314323214
4032000020011400,4132321423411423
4020200300003402,4321214312343412
2003000031420200,2413132431424231
0010004240313000,2413134242313124
0100040243001003,2134341243211243
3020014040020200,3421214343121234
0014000001033201,2314143241233241
4001020024103000,4321123424133142
3020100020000132,3421124323144132
0340420000103020,1342423124133124
2031000030044020,2431134232144123
0001204030100230,4321214334121234
4103020020010040,4123321424311342
0100241000040301,3142241312344321
0243030004010020,1243431224313124
4001120021030000,4321123421433412
0130000430010203,4132231434211243
2100001010203200,2134431214233241
0140000210004201,2143341213244231
0310200400003401,4312213412433421
4200002010420010,4231312413422413
1000240000233010,1342243141233214
0004103003200140,3214143243212143
4002230010000401,4132231412433421
3001200440000240,3421213443121243
0004032020430010,1234432121433412
0000430210040021,2143431212343421
1400200400300240,1423231441323241
3002010440200003,3412213443211243
0230040023000023,1234341223414123
0310000200414100,2314143232414123
0003342020000032,1243342123144132
0002400013200403,3142423113242413
0300240100003102,1324243142133142
3002043002001020,3142243142131324
0040040100130320,3142243142131324
2341000310000004,2341412314323214
3002403100002004,3142423114232314
4030130400020400,4231132431422413
2300040000044130,2341142332144132
0004300100420210,2134342113424213
0304240040130000,1324243142133142
0041040200044010,2341143231244213
1320400000013040,1324421324313142
2000430004023010,2143432114323214
0040300120040130,1243342123144132
2041042000020200,2341142341323214
4032030414000000,4132231414233241
4001104000040012,4321124321343412
0300200042300140,1324241342313142
0201102000403400,4231132421433412
1004040332000030,1324241332414132
2100300140000230,2143342143121234
2340102032000000,2341142332144132
0031000410422000,4231312413422413
0040400004201230,2143431234211234
0000040240032304,3241143241232314
0201003023104000,3241143223144123
2001000040030342,2431312442131342
1200042000000143,1234342143122143
0010120030040430,4312124331242431
2410130000003004,2413134242313124
1000420004130002,1324423124133142
3104000102030010,3124243112434312
3000020113040010,3142423113242413
0012020300040320,3412124321344321
1030300000032304,1432324141232314
0003320000401032,4123321423411432
2301000001033004,2341143241233214
0200001003410103,1234341223414123
0032300401200040,1432321441232341
0400012400400012,2431312412434312
3002120000200140,3412123443212143
0103020003041400,4123324123141432
0300040130100120,1342243132144123
0123030000011002,4123231432411432
0104402000030402,2134432112433412
0210304004000320,4213314224311324
0402004042001300,3412214342311324
3042401010000400,3142421313242431
0100430204030001,2134431214233241
0004001310302001,3124421314322341
1030000000430412,1234432121433412
0420003010400302,3421213412434312
1004000243210000,1234341243212143
4000020400202301,4132321414232341
0310000020033021,4312123421433421
0040000340303210,2341142341323214
2300003002404100,2314143232414123
0000021310020430,3124421313422431
1420000130000102,1423234132144132
0203010404020040,4213312414322341
0400310000101304,2431314242131324
2013300000040301,2413314212344321
1300400030420010,1324423131422413
1004043100420000,1324243131424213
0140040300004320,3142241312344321
0142040000200201,3142241313244231
0100000203011204,2143341243211234
2100301002040020,2143341212344321
4013100001400001,4213132431422431
0410032041300000,2413132441323241
0210100003014030,3214142323414132
0004340021000320,1234341221434321
0020030001404201,1423231431424231
2043000042001004,2143341242311324
0001004300320304,3421124341322314
0040400001042013,1342423131242413
0200040340300310,3241142341322314
1020400030002403,1324423131422413
0130200410000041,4132231414233241
2004001040010203,2134341243211243
0020000334101030,4321214334121234
0100320400011300,4123321424311342
2000030134100003,2134432134121243
0130021410200000,4132321414232341
0430032001024000,2431132431424213
0000024103020104,1423324143122134
4000200102000432,4123234132141432
0000004110320204,4123234114323214
0210402300020400,3214412313422431
0010003410004301,3412213412434321
0102304024000300,4132324124131324
0001400203040023,3241413223141423
0200000303144100,3241142323144132
2310003000001420,2314413232411423
0014040023004003,3214143223414123
1300200000103104,1342243142133124
0140032100000410,2143432112343412
0201042000302010,3241142341322314
0000302400402013,4231312413422413
0401302000004302,2431312412434312
0024040040103100,1324243142133142
0301200002030410,4321213412433412
0120400320001400,3124421323411432
0420203402400000,3421213412434312
0420200402300100,1423231442313142
4300200004201030,4312214334211234
4001002000130340,4231312424131342
0000304012040301,2413314212344321
0203000001420401,4213132431422431
0000024301002430,4312124331242431
0040342101040000,1243342121344312
4003032431000000,4213132431422431
4103000004000314,4123324114322314
0000013043020043,3421213443121243
1040041243000000,1243341243212134
0002210002311000,3412214342311324
0040420103202000,3142423113242413
0000430210340020,2143431212343421
0004203140003002,1324243142133142
3014400300410000,3214412323411432
0040300043201004,2143341243211234
0003002030002134,1243432134122134
0200000404131002,4231312424131342
1403230100004000,1423234132144132
3402004303000001,3412214313244231
0000012314000240,2314412314323241
0310000340310002,2314142342313142
0002010334201000,4312214334211234
0402100040210004,3412124343212134
4030320004000340,4132321414232341
0400032401004030,2413132431424231
0004203001400203,1324243131424213
0142201000040020,3142241312344321
0001300203200403,4231314213242413
0400013002100042,3421213442131342
0401310003400200,2431312413424213
0000031401024001,1423231431424231
0024200002031002,3124243142131342
0401030000200213,2431134231244213
2401004000203010,2431134241233214
0031010440100300,2431312442131342
0000014300320204,4321214314323214
0030010040101302,2431312442131342
0321200004001030,4321214334121234
0000403130200013,1342423131242413
2300100000024031,2314142331424231
0003021000410402,4123321423411432
4000002410400013,4231312413422413
0000340000121043,2134342143121243
0210400000032041,3214413214232341
0030032010033400,2134432112433412
1300420300200001,1342421331242431
3012100001040020,3412124321344321
2030030030240200,2431134231244213
0000031400411003,4132231432411423
0120420000002013,3124423113422413
0040100201000213,2341143231244213
0310100020340020,4312124321343421
0000410203042010,3241413213242413
0000043010430012,3124243112434312
1430200101003000,1432234141233214
3024040000030012,3124243112434312
3104000040010302,3124241342311342
0001120300004302,3421124321344312
1030000001420403,1234432131422413
0000023401034020,3412123421434321
0100031202400003,2134431232411423
0140203010000013,3142243113244213
0030041020404003,1234341223414123
0240000004131020,3241413224131324
1003002100040130,1243342123144132
0040020300011304,3142421324311324
2000040230144000,2341143232144123
2040041002040300,2143341212344321
1342003000002400,1342423131242413
2000000340303041,2314142341323241
4010024000303001,4312124321343421
1030032100100003,1234432134122143
0010030002300142,2413132442313142
3140000104200300,3142423114232314
2010000300001432,2314412332411432
0020214004000034,4321214334121234
4320020001400003,4321123431422413
0301204004100030,4321214334121234
0031010410020400,4231312413422413
0410000031044030,2413134231244231
0210100243000100,3214143243212143
0310213002000003,4312213432411423
0401000040020134,3421124343122134
0030004140103004,1432234142133124
2004100300300140,2314142342313142
1300040301200200,1342241331244231
3104000340010040,3124241342311342
0003201400014100,1423231432414132
0100420003101003,3142423123141423
0003001432014000,1423231432414132
0130001202034000,2134341212434321
1000240300000124,1342241342313124
0302243000004020,1342243132144123
0300000014230210,2341413214233214
0240000030022130,1243432134122134
0430204100130000,1432234142133124
4001020020300402,4321124321343412
0003014002301004,2413314242311324
0230300201400001,1234341221434321
3100040300420200,3124241313424231
1342020004000030,1342421334212134
0403320100000302,1423324121344312
0000421320003400,1342421321343421
4000000334022030,4321124334122134
0001203040001042,3421213442131342
0000020100101432,4123324123141432
4100000410020430,4123321413422431
0100001300420230,3124241313424231
0401003021030002,3421123421434312
0240142040000030,3241142343122134
2003102030400001,2413132431424231
0204000304002301,3214412314322341
3001003042000340,3421213442131342
1200001004000134,1243431234212134
2000043200040210,2341143231244213
0000002142130002,2134342142131342
0042400001343000,1342421321343421
0000302003011402,4213312423411432
0412004020040300,3412124321344321
0003100430002031,4213132431422431
2000140201003040,2314143241233241
0000123403020040,3421123443122143
0010210010033200,4312213414233241
0003310042010020,2413314242311324
0020040140100203,3124243143121243
4031304003000020,4231314223141423
0400300400202340,1432321441232341
0040200010340301,3142241312344321
4012000301202000,4312124331242431
0000403030101420,2341413232141423
4002004001002430,4312124331242431
2014010230000400,2314413232411423
3200040000202340,3214143241232341
0001300010232004,4231314214232314
0040430020300120,1243431224313124
3010024020340000,3412124321344321
1024040001004003,1324243131424213
0140421003000400,3142421313242431
0013010200000234,2413314243211234
4300000004201230,4312214334211234
0300002042010140,2314142342313142
0204002100130100,1234432124133142
4023004102003000,4123234112343412
0100040313400030,3124241313424231
0400314040200030,2413314243211234
0102400024010004,3142421324311324
0140200312000300,3142241312344321
0000103430102003,4321123434122143
0000013400400412,4321213412433412
4030000030402410,4231132431422413
0012000004010243,4312213434211243
3000103401400002,3421123421434312
0040013200232000,3241413214232314
1003001200344000,1243341221344321
0302201042300000,1342241342313124
4100204030040002,4123234132141432
1400004030004103,1432234132144123
4020020400002103,4321123434122143
3201000020304300,3241142321344312
0100001310420200,3124241313424231
0004410210000201,2314413214233241
0041400020001402,3241412323141432
0410034000003024,2413134242313124
4130300100200400,4132324113242413
0004100243000103,3214143243212143
2340002012000010,2341412312343412
4301000301043000,4321124321343412
2403100402000030,2413132432414132
0002004002104120,1432234132144123
1002043100004010,1342243131244213
2304010204030000,2314413214233241
4000030402011030,4123231432411432
0004020000102143,1324423134122143
0000010443200203,3412213443211243
0200400203042003,3241413213242413
1000240040030210,1342243141233214
0304421000003100,1324421324313142
4300003020003401,4312123421433421
1400021000230300,1432321441232341
0431100000203004,2431134241233214
2340400000041020,2341413232141423
1040401300000120,1342421324313124
1032000001004203,1432234131244213
3000213002100002,3421213442131342
0200310404301000,4213312424311342
3400100000304012,3421124321344312
2040040210340000,2143341212344321
0030204030040120,1432234132144123
0400310010024003,2431312413424213
2304000004320200,2314412314323241
1002040100003014,1342243141233214
0120301024000300,4123321424311342
1023020103000004,1423324143122134
1340200301040000,1342241331244231
3410000010240030,3412214313244231
0300240002013004,1342241342313124
0013000021300401,4213134221343421
0200430200010120,1243431224313124
2030032004001040,2134432134121243
0000314010042030,4213314213242431
0043030002003410,2143432112343412
0024023001020003,1324423131422413
2430030000200204,2431134241233214
0000004102104130,1423234132144132
0324000001400203,1324243131424213
1203000001320004,1243342141322314
3021004020000302,3421124321344312
0004003012403020,2314413212433421
4030200010430020,4132231412433421
2041100200004010,2341143231244213
0000410210030304,3241413214232314
2340002030001002,2341412332141432
3010200042300004,3412214342311324
0302000330001230,4312214334211234
0214010320000030,3214412323411432
0201000020403410,4231132421433412
0001043030100120,2341143232144123
0302001024010004,1342421324313124
4031102034000000,4231132434122143
0010123000004021,3412123421434321
1000230000310042,1423231442313142
3002201300004300,3142241312344321
0302240002033000,1342243142133124
0200034000242010,4231134231242413
3201000003004103,3241143223144123
0000042103400013,2134342113424213
0000321000404023,1432321423414123
2013010000024030,2413312413424231
0103204030100200,4123234134121234
0300210000303402,4321214312343412
0300241030400100,1324241332414132
3002020040000143,3412123443212143
1002020300240400,1342421331242431
0020034030021200,4123234134121234
0010400300323001,2314412314323241
0240000314302000,3241412314322314
4003030001300021,4213134221343421
2400304200010300,2413314242311324
0003100030404201,2413132431424231
0204301000004320,1234341221434321
0042040040010304,3142241342311324
2000000301300241,2314142341323241
0002040102103020,1342243142133124
4301004000303200,4321214314323214
0003012400420200,2413312413424231
0024200012030010,3124243112434312
0001024300140100,3421124323144132
4002013000401003,4312213432411423
0412013002030000,3412213412434321
0300120420000401,4312123421433421
0040400210032010,3241413214232314
4020000030120104,4321124334122134
0401020003044030,3421124323144132
4000020014302001,4123321414322341
0002201001204030,1342241331244231
0340000131000410,1342423131242413
3002040000044031,3142241313244231
0301020400002403,4321123431422413
0400030230100103,2431134232144123
0402024000340300,3412124321344321
2001043000040013,2341143231244213
0020020103000134,1423324143122134
0000003113024010,3124243113424213
0410000343200100,3412124343212134
0002201004000241,4132231414233241
2004040100101003,2134342143121243
3040100023100020,3241143223144123
1023000103040100,1423324123144132
2400030200300104,2413134242313124
0001003230204003,2341143231244213
3004012010302000,3214412314322341
0312013000010200,4312213434211243
3104000304002300,3124421314322341
1000400304012030,1342421334212134
0200100431400010,4231132431422413
0003042100100204,2143342143121234
0100400013022030,3124421313422431
3020010002404300,3421213412434312
0024421031000000,1324421331422431
4000230400320001,4123231414323241
0020300424000302,4123321424311342
0200300143020040,1234342143122143
0024000104001302,3124423124131342
4021200000000234,4321214334121234
0432301001400000,1432321421434321
3001020320004010,3421124321344312
1302000000044203,1342243131244213
0432000001200304,1432324141232314
4001024030100004,4321124334122134
0240000120043010,1243432121343412
1004001020014003,1234341223414123
0310140200004100,2314143232414123
0430004100002304,1432324141232314
0203042000020104,1243342143122134
0402000002130120,1432234142133124
0000230404303001,4123231414323241
2040030002043010,2143432112343412
0400003000212103,3412123443212143
3000240310204000,3142241313244231
4001000021040402,4321124321343412
0412014000300004,3412214342311324
0120020100041030,4123324123141432
4031104000040400,4231134231242413
0100400114200010,3142423114232314
3041000001032300,3241143241232314
0100000230011240,2134431234211243
1402004030000120,1432234132144123
0004340041000301,1234341241232341
3102000114002000,3142423114232314
0010030204310100,4213134224313124
3000120020040012,3421124321344312
0100002130120003,2134432134121243
3010014010004200,3412214313244231
1004020000100142,1324423124133142
0310120000043020,4312124321343421
3140040102030000,3142243142131324
0200034031200010,4231134231242413
0040000114200304,3142423114232314
0000003201244200,2341143231244213
1034002004130000,1234432124133142
0130201400030400,4132231412433421
1300420004030004,1342423124133124
0042021304001000,3142421324311324
0301200030120003,4321213434121243
0402300103104000,1432324123144123
0042243040000300,3142243142131324
1200400201040030,1243431231242431
4030021003001400,4132321423411423
0000210304023010,4321214314323214
4200302004300001,4213312414322341
0000402001022013,1234432131422413
1403000430000031,1423231431424231
1400030402003100,1423231442313142
0103041202040000,2143341212344321
0310100020300104,4312124324313124
3210400020400003,3214413223411423
0210000400322300,4213312414322341
0000430102040430,2143432132141432
4103000032100030,4123234132141432
1030002100430300,1234342121434312
3002420100002003,3142423113242413
1340420100030000,1342423124133124
2000002440021003,2431312443121243
0030031001030021,1234431221433421
0103230000100204,4123234134121234
0102003103040020,3142423123141423
0210402003000402,3214412323411432
3004240000024003,3124243113424213
1200402000020043,1234432134122143
0300013202410000,2314413232411423
0100200030401430,4123231432411432
0320201002004030,1324241332414132
0400100200230014,2431134241233214
0200300400400431,4213312413422431
0401004020100130,3421124323144132
1000034000200213,1432234131244213
0304002310300001,2314412314323241
0010100430200103,4312123434212143
1300041300003020,1342241342313124
1300040030010102,1324241332414132
4130200030140000,4132234132141423
0120000320001430,3124421323411432
2034000140001300,2134342142131342
3142000000002430,3142421313242431
2013012000404000,2413312413424231
0024401000000341,3124421314322341
0430000002031042,2431312442131342
0340240000104003,1342243132144123
3000120041020004,3421124341322314
0210030234000004,4213134234212134
0040000201303021,1243431221343421
4003004032101000,4123234132141432
2040430100000430,2143432132141432
1000431000010034,1243431234212134
2100001200004031,2143341213244231
0400302002430010,2431312412434312
0000402020430410,1234432121433412
3214000020000021,3214143221434321
0100203010400310,3124243112434312
0302240300003020,1342241342313124
0000240003044203,3142243113244213
2013100002300004,2413134242313124
3100020000031340,3124423124131342
0420020100320010,1423324141322314
2000302440130000,2431312442131342
0001120003100102,3421124323144132
1000201400004201,1423231431424231
0030020401032040,1432321441232341
4003231000011000,4123231432411432
2401010010420000,2431312413424213
1030201030404000,1432231432414123
0000140241002001,3214143241232341
4003100400402001,4213132431422431
1002003004003024,1342423124133124
1043400200000430,1243431231242431
3020104000100034,3421124343122134
4203000020001402,4213312423411432
3001000403102100,3421123443122143
0102040002031300,3142243142131324
0000342003104030,1243342123144132
1004430101003000,1234432121433412
0030402012003010,2134432112433412
3021000303000204,3421214343121234
4201100200040400,4231134231242413
4002001010433000,4132231412433421
0134300002130000,2134342142131342
4001310200100300,4231314224131324
4000034004020014,4123234114323214
1000403100400012,1324423121433412
2400000400031340,2431312442131342
2000014200010304,2413314242311324
3100023000040023,3142423123141423
2301000040103004,2341143242133124
0100001403400023,4132321423411423
1040400300000124,1342421324313124
0142020003140000,3142423123141423
0040030230200204,2143431234211234
4000300210002403,4231314213242413
0400001021404001,1432321421434321
0200143001200004,3241143241232314
0410014343000000,3412214343211234
0030130020030042,4231132424133142
2001402030100004,2341412334121234
4102000010200304,4132324114232314
0000310420010042,4213312424311342
0431000242003000,2431134242133124
0100402002400012,2134432112433412
1304200340000200,1324241341323241
0000001212033001,2134431212433421
0001400030140420,2341413232141423
3010002300002430,3214412313422431
0030002102404300,2134342112434312
0000410004023210,2341412314323214
3200000010202410,3241413213242413
2000010400400213,2431312413424213
0200401030010103,1234431234212143
0001200002433010,4321213412433412
0430030140030010,1432234141233214
2130430002000001,2134431212433421
0100020300242400,3142421313242431
0020400024100302,3124423124131342
1003300040210030,1243341243212134
0020014014303000,4321214314323214
4002024004010030,4312124334212134
0134040200004001,2134341212434321
3002004321004000,3412124321344321
0021000301302004,3421124341322314
3401104000000012,3421124321344312
3001010400100302,3421213442131342
4010000330200401,4312124331242431
0430310000400210,2431312413424213
0003200004021204,4123234134121234
0200430004120004,1243432134122134
0123201000000402,4123231432411432
0021200000101340,3421213442131342
0203041000004301,1243341221344321
2304100030000120,2314143232414123
0140300102000012,2143342112344312
4002301003010003,4132321423411423
4002210000030041,4312213414233241
2000403000030421,2314413212433421
0402100401002040,3412123441232341
1000340200002103,1234341243212143
0043030030041002,2143432132141432
3040001002301300,3142241342311324
0234000240002003,1234341243212143
0304000200004123,2314143232414123
4003102030020001,4213132431422431
1200400024030040,1234432124133142
0040042003001230,2143342143121234
4200010000310024,4213314224311324
1402300000032010,1432324141232314
2003132000010040,2413132442313142
2410010000240200,2413314213244231
3000001310040320,3142241312344321
0430002040101003,2431312443121243
0031032034000100,4231132434122143
1030000203400023,1234341223414123
0201403004032000,3241413214232314
1040003002144000,1342243132144123
0201000021300302,3241142321344312
4203000230040001,4213134231242431
3010104003002100,3412124343212134
0034040102000310,2134342112434312
0001030030022103,4231132434122143
0020421031020000,1324421331422431
1304000124000040,1324423124133142
0200300040210140,1234341243212143
0000030401022403,4231132431422413
0030100440033002,2431132442133142
1304000020030042,1324423124133142
2014010204000003,2314413234211243
4103000003101400,4123324123141432
2103000030040032,2143432132141432
2000030100033402,2134432112433412
0214010013000030,3214412313422431
0140403020130000,3142423124131324
4002324000000420,4132324123141423
0312020300003100,4312124324313124
0000004313004230,3412214313244231
0032000403010120,1432321423414123
0031130030404000,2431132431424213
2014000040013002,2314142342313142
1302040040203000,1342243141233214
1000024000300314,1423324141322314
2000012403120000,2431312443121243
1430200000044100,1432234132144123
3001003440002100,3421123443122143
0210410320000300,3214412324311342
0140301002300004,2143341242311324
0130340010000210,2134342113424213
3004010023010030,3214412323411432
0430021021400000,1432321421434321
0340012000001430,2341412332141432
0340020004210030,1342421334212134
0420031042003000,1423231442313142
0010300020400432,4213312423411432
0040401201200030,1243431231242431
1000040030204031,1342241331244231
2000004002044320,2413314212344321
0034000120004302,1234342121434312
0000413010000314,3241413214232314
1400000040202301,1432321441232341
4301100001300400,4321124321343412
